PQNEWMAN    012006001250
RRREDFORD   062006123453
ELTAYLOR    042006010000
NBSTERN     092006020000
CDHAMMEL    072006065450
RASTERN     112006884008
LOSTERN     072006688778
MESTERN     022006009899
HRFORD      122006684800
CRFISHER    012006086212
PQNEWMAN    012006001250
RRREDFORD   062006123453
ELTAYLOR    042006010000
NBSTERN     092006020000
CDHAMMEL    072006065450
RASTERN     112006884008
LOSTERN     072006688778
MESTERN     022006009899
HRFORD      122006684800
CRFISHER    012006086212
PQNEWMAN    012006001250
RRREDFORD   062006123453
ELTAYLOR    042006010000
NBSTERN     092006020000
CDHAMMEL    072006065450
RASTERN     112006884008
LOSTERN     072006688778
MESTERN     022006009899
HRFORD      122006684800
CRFISHER    012006086212
PQNEWMAN    012006001250
RRREDFORD   062006123453
ELTAYLOR    042006010000
NBSTERN     092006020000
CDHAMMEL    072006065450
RASTERN     112006884008
LOSTERN     072006688778
MESTERN     022006009899
HRFORD      122006684800
CRFISHER    012006086212
PQNEWMAN    012006001250
RRREDFORD   062006123453
ELTAYLOR    042006010000
NBSTERN     092006020000
CDHAMMEL    072006065450
RASTERN     112006884008
LOSTERN     072006688778
MESTERN     022006009899
HRFORD      122006684800
