00001ADAMSON             01010400000014550324201021500067500040010011593        
00002BAKER               01010500000001953425002012755080050025000032094        
00003CARTWELL            01011000000012783145905021705097525030032041095        
00021RAMIREZ             03020570430003105909006351362905533104000072895        
00022GEORGE WASHINGTON   03020473080021006670103142117210179033684000195        
00023JAMES               03030457160030932401006910784709921846507032195        
00024LYONS               04010652020090642075501561035103610039861002895        
00038ASHLEY              06040758000023578122202568710021458744455080495        
00039MRS. BUTTERFIELD    06040432000000525877703698558214700124578050595        
00040CALIOPIS            06030960000002398844709003695821474566654160695        
00041DESEREY             06020850000036955228808032565025845554425130695        
00042FIELDSON            07010523000011220569907314655897021554469110794        
00043GALAGHER            07080890000099880252105122587940025480230021594        
00044HOUSTONS            07090520000006854421306456871112455520200071694        
00051PETERS              08060630000002335647808235687112450032548172394        
00052ROBERTS             08060652000045811220007125545423589147258042494        
00063JOHNNY APPLESEED JR.09030908000001112458704123500058741444369150394        
00064RIVERA              09020886230009987223305789451233360025250180494        
00165RIVERSON            09010529000006874114706789251422020369855140794        
